mnt,scd,nPt,avg
3.4166666666666665,205.0,10000,0.0205
19.866666666666667,1192.0,84100,0.014173602853745542
8.816666666666666,529.0,16900,0.03130177514792899
14.7,882.0,57600,0.0153125
0.6116666666666667,36.7,3600,0.010194444444444445
3.2666666666666666,196.0,12100,0.016198347107438015
10.733333333333333,644.0,48400,0.013305785123966941
13.183333333333334,791.0,96100,0.008231009365244537
21.85,1311.0,90000,0.014566666666666667
7.25,435.0,40000,0.010875
1.49,89.4,4900,0.018244897959183673
0.7733333333333333,46.4,2500,0.01856
19.45,1167.0,78400,0.014885204081632653
10.05,603.0,52900,0.011398865784499055
8.166666666666666,490.0,28900,0.016955017301038062
9.15,549.0,25600,0.0214453125
5.433333333333334,326.0,22500,0.01448888888888889
8.8,528.0,44100,0.01197278911564626
7.066666666666666,424.0,32500,0.013046153846153846
6.633333333333334,398.0,36100,0.011024930747922438
44.4,2664.0,67600,0.03940828402366864
0.15383333333333335,9.23,400,0.023075000000000002
3.216666666666667,193.0,14400,0.013402777777777777
1.6266666666666665,97.6,6400,0.01525
0.4483333333333333,26.9,1600,0.016812499999999998
1.2816666666666667,76.9,8100,0.009493827160493828
14.316666666666666,859.0,62500,0.013744
2.933333333333333,176.0,19600,0.008979591836734694
0.03783333333333334,2.27,100,0.0227
